sku,price,special_price
3MA-048011-00643,10,2.7037
3MA-048011-00644,3.3933,3.3933
3MA-048011-00645,4.6537,4.6537
3MA-048011-00647,3.2053,3.2053
3MA-048011-00648,5.9693,5.9693
3MA-048011-00665,2.34,2.34
3MA-048011-00666,2.4747,2.4747
3MA-048011-00670,6.1049,6.1049
3MA-048011-00672,3.6467,3.6467
3MA-048011-00750,3.0841,3.0841
3MA-048011-00751,5.3037,5.3037
3MA-048011-00752,7.756,7.756
3MA-048011-00935,6.7,6.7
3MA-048011-00941,8.552,8.552
3MA-048011-00946,15.56,15.56
3MA-048011-00947,15.56,15.56
3MA-048011-00948,14.256,14.256
3MA-048011-00949,15.56,15.56
3MA-048011-00950,15.56,15.56
3MA-048011-00955,20.0387,20.0387
3MA-048011-03728,8.7227,8.7227
3MA-048011-03928,4.544,4.544
3MA-048011-03992,7.2573,7.2573
3MA-048011-03998,5.3907,5.3907
3MA-048011-04018,6.0933,6.0933
3MA-048011-04020,19.2622,19.2622
3MA-048011-04028,0.9683,0.9683
3MA-048011-04029,1.0866,1.0866
3MA-048011-04050,2.6073,2.6073
3MA-048011-04051,1.8439,1.8439
3MA-048011-04120,2.0427,2.0427
3MA-048011-04124,1.7987,1.7987
3MA-048011-04129,2.7333,2.7333
3MA-048011-04132,6.0027,6.0027
3MA-048011-04188,4.736,4.736
3MA-048011-04229,0.8829,0.8829
3MA-048011-04276,0.9227,0.9227
3MA-048011-04277,1.7987,1.7987
3MA-048011-04278,2.6773,2.6773
3MA-048011-04299,5.684,5.684
3MA-048011-04303,2.956,2.956
3MA-048011-04304,4.544,4.544
3MA-048011-04305,4.9061,4.9061
3MA-048011-05022,18.4867,18.4867
3MA-048011-05523,0.9756,0.9756
3MA-048011-05527,0.9756,0.9756
3MA-048011-05528,0.9756,0.9756
3MA-048011-05531,1.8549,1.8549
3MA-048011-05532,1.8549,1.8549
3MA-048011-05674,20.9098,20.9098
3MA-048011-05680,20.5073,20.5073
3MA-048011-05741,5.3907,5.3907
3MA-048011-05783,16.688,16.688
3MA-048011-05820,16.688,16.688
3MA-048011-07450,10,2.6476
3MA-048011-07451,2.3549,2.3549
3MA-048011-07458,1.04,1.04
3MA-048011-07459,0.9227,0.9227
3MA-048011-07492,7.8147,7.8147
3MA-048011-07494,5.4427,5.4427
3MA-048011-08293,13.6451,13.6451
3MA-048011-08855,5.9693,5.9693
3MA-048011-08856,5.364,5.364
3MA-048011-08857,5.088,5.088
3MA-048011-08858,5.364,5.364
3MA-048011-08915,20.8013,20.8013
3MA-048011-09493,5.58,5.58
3MA-048011-09650,16.688,16.688
3MA-048011-12952,3.0853,3.0853
3MA-048011-12953,2.6793,2.6793
3MA-048011-12954,2.6793,2.6793
3MA-048011-13131,4.0747,4.0747
3MA-048011-13287,4.0747,4.0747
3MA-048011-13370,2.784,2.784
3MA-048011-13639,7.2573,7.2573
3MA-048011-13713,3.6067,3.6067
3MA-048011-13716,5.889,5.889
3MA-048011-13717,10.4693,10.4693
